INDEX,L1_UTM_X,L1_UTM_Y,L1_LON,L1_LAT,R1_UTM_X,R1_UTM_Y,R1_LON,R1_LAT
310,250337.2959,3688306.942,126.3185319,33.30497761,250338.5982,3688305.847,126.3185461,33.30496805
311,250337.4321,3688307.088,126.3185333,33.30497896,250338.7287,3688305.998,126.3185475,33.30496943
312,250337.5757,3688307.228,126.3185348,33.30498025,250338.8623,3688306.146,126.3185489,33.3049708
313,250337.7143,3688307.373,126.3185362,33.30498159,250338.9938,3688306.297,126.3185503,33.30497219
314,250337.859,3688307.512,126.3185377,33.30498287,250339.1262,3688306.446,126.3185516,33.30497357
315,250337.9861,3688307.666,126.3185391,33.30498429,250339.2462,3688306.607,126.3185529,33.30497504
316,250338.1163,3688307.817,126.3185404,33.30498568,250339.367,3688306.766,126.3185541,33.3049765
317,250338.2522,3688307.964,126.3185418,33.30498704,250339.4946,3688306.921,126.3185555,33.30497793
318,250338.3896,3688308.11,126.3185433,33.30498838,250339.6235,3688307.073,126.3185568,33.30497933
319,250338.5295,3688308.254,126.3185447,33.30498971,250339.7549,3688307.223,126.3185582,33.30498071
320,250338.6715,3688308.395,126.3185462,33.30499102,250339.8855,3688307.375,126.3185595,33.30498211
321,250338.7988,3688308.549,126.3185475,33.30499244,250340.0039,3688307.536,126.3185607,33.30498359
322,250338.9313,3688308.699,126.3185489,33.30499382,250340.1281,3688307.693,126.318562,33.30498503
323,250339.072,3688308.841,126.3185504,33.30499513,250340.2579,3688307.845,126.3185634,33.30498643
324,250339.2002,3688308.995,126.3185517,33.30499655,250340.3776,3688308.005,126.3185646,33.3049879
325,250339.3286,3688309.148,126.3185531,33.30499796,250340.496,3688308.167,126.3185659,33.30498939
326,250339.4589,3688309.299,126.3185544,33.30499935,250340.6162,3688308.327,126.3185671,33.30499086
327,250339.5913,3688309.45,126.3185558,33.30500073,250340.7398,3688308.484,126.3185684,33.3049923
328,250339.7324,3688309.592,126.3185573,33.30500205,250340.8695,3688308.636,126.3185697,33.3049937
329,250339.8644,3688309.742,126.3185586,33.30500344,250340.9921,3688308.795,126.318571,33.30499516
330,250340.0014,3688309.888,126.3185601,33.30500478,250341.1195,3688308.949,126.3185723,33.30499658
331,250340.1407,3688310.031,126.3185615,33.3050061,250341.251,3688309.099,126.3185737,33.30499796
332,250340.286,3688310.17,126.318563,33.30500739,250341.387,3688309.245,126.3185751,33.30499931
333,250340.4319,3688310.308,126.3185646,33.30500866,250341.5216,3688309.392,126.3185765,33.30500066
334,250340.5756,3688310.448,126.3185661,33.30500996,250341.6537,3688309.542,126.3185779,33.30500205
335,250340.7165,3688310.59,126.3185676,33.30501127,250341.7837,3688309.694,126.3185793,33.30500344
336,250340.8567,3688310.734,126.318569,33.3050126,250341.9149,3688309.844,126.3185806,33.30500483
337,250341.0012,3688310.872,126.3185705,33.30501388,250342.0492,3688309.992,126.318582,33.30500619
338,250341.1455,3688311.012,126.318572,33.30501517,250342.1823,3688310.141,126.3185834,33.30500756
339,250341.2886,3688311.152,126.3185735,33.30501647,250342.3153,3688310.29,126.3185848,33.30500893
340,250341.4332,3688311.292,126.318575,33.30501776,250342.4498,3688310.437,126.3185862,33.3050103
341,250341.5789,3688311.43,126.3185766,33.30501904,250342.5823,3688310.587,126.3185876,33.30501168
342,250341.7143,3688311.576,126.318578,33.30502039,250342.7071,3688310.743,126.3185889,33.30501311
343,250341.842,3688311.731,126.3185793,33.30502181,250342.8245,3688310.905,126.3185901,33.3050146
344,250341.9678,3688311.886,126.3185806,33.30502324,250342.9404,3688311.069,126.3185913,33.3050161
345,250342.0931,3688312.042,126.3185819,33.30502467,250343.0539,3688311.234,126.3185925,33.30501762
346,250342.2217,3688312.194,126.3185833,33.30502607,250343.1711,3688311.397,126.3185937,33.30501911
