UTM_X,UTM_Y,LAT_DD,LON_DD
250255.626218,3688203.166934,33.3040236663672,126.317684172726
250255.428822,3688203.172012,33.3040236663682,126.317682053264
250255.229304,3688203.177016,33.3040236652106,126.317679911053
250255.041251,3688203.20048,33.3040238330353,126.317677886766
250254.849595,3688203.20541,33.3040238330331,126.317675828935
250254.653705,3688203.191743,33.3040236644902,126.317673730807
250254.456155,3688203.197033,33.3040236663654,126.317671609633
250254.258541,3688203.202116,33.3040236663608,126.317669487831
250254.058664,3688203.207258,33.3040236663631,126.31766734173
250253.858792,3688203.2124,33.3040236663666,126.317665195683
250253.661623,3688203.216844,33.3040236607075,126.317663078831
250253.465166,3688203.204028,33.3040234997005,126.317660974384
250253.265799,3688203.205489,33.304023466655,126.317658834771
250253.070213,3688203.19569,33.304023333033,126.317656738837
250252.872548,3688203.200775,33.3040233330342,126.317654616486
250252.678124,3688203.187121,33.3040231649478,126.317652534084
250252.479876,3688203.192628,33.3040231686161,126.317650405362
250252.288222,3688203.17881,33.304022999694,126.317648352727
250252.091383,3688203.182849,33.3040229904621,126.317646239528
250251.893898,3688203.163456,33.3040227699576,126.317644125866
250251.698498,3688203.15575,33.3040226552364,126.317642031349
250251.505402,3688203.143788,33.3040225027026,126.31763996273
250251.316442,3688203.129818,33.3040223330352,126.317637939044
250251.121428,3688203.134834,33.3040223330289,126.317635845158
250250.923509,3688203.139926,33.304022333034,126.31763372008
250250.728939,3688203.172018,33.3040225770859,126.317631623484
250250.532898,3688203.205347,33.3040228319422,126.317629510763
250250.346046,3688203.251207,33.3040232018329,126.317627493181
250250.15761,3688203.300331,33.3040236007651,126.317625457702
250249.973466,3688203.369163,33.3040241782616,126.317623462836
250249.787995,3688203.426787,33.3040246544662,126.317621456825
250249.603251,3688203.50271,33.3040252957136,126.317619453564
250249.422153,3688203.581725,33.3040259656651,126.31761748857
250249.245185,3688203.669581,33.3040267162314,126.317615565452
250249.081946,3688203.766496,33.3040275516016,126.317613787145
250248.920374,3688203.879487,33.3040285322033,126.317612022287
250248.758541,3688203.991298,33.3040295021127,126.317610254954
250248.602602,3688204.110994,33.3040305444321,126.317608548688
250248.466942,3688204.251308,33.3040317772205,126.317607054324
250248.346503,3688204.408475,33.3040331653828,126.31760571863
250248.237058,3688204.568957,33.3040345859615,126.317604499986
250248.142504,3688204.740165,33.3040361066332,126.317603438162
250248.055022,3688204.915498,33.3040376661103,126.317602451082
250247.973097,3688205.096751,33.3040392802149,126.317601521995
250247.907492,3688205.283999,33.3040409521172,126.317600766366
250247.84523,3688205.464791,33.3040425666257,126.31760004839
250247.792395,3688205.647692,33.3040442023213,126.317599430984
250247.750428,3688205.842396,33.3040459468813,126.317598926933
250247.72166,3688206.038507,33.3040477071776,126.317598564119
250247.672973,3688206.228406,33.3040494068868,126.317597989289
250247.656463,3688206.425607,33.3040511798453,126.317597757703
250247.652863,3688206.62083,33.3040529379744,126.317597665187
250247.658287,3688206.816291,33.3040547003394,126.317597669433
250247.677963,3688207.007914,33.3040564314274,126.317597827663
250247.703329,3688207.20246,33.3040581901705,126.317598046139
250247.748884,3688207.394733,33.3040599331133,126.317598481872
250247.802434,3688207.582299,33.3040616354991,126.31759900469
250247.884764,3688207.754542,33.3040632064951,126.317599840547
250247.970661,3688207.925429,33.3040647661003,126.317600715052
250248.064237,3688208.101462,33.3040663738509,126.317601670533
250248.169344,3688208.266903,33.30406788884,126.317602752666
250248.295225,3688208.412627,33.3040692309937,126.317604063146
250248.428815,3688208.55575,33.3040705514991,126.317605457062
250248.56269,3688208.691922,33.3040718094418,126.317606855955
250248.71525,3688208.819508,33.3040729943554,126.317608457708
250248.877196,3688208.926071,33.3040739920268,126.317610165976
250249.044799,3688209.030136,33.3040749685024,126.317611935633
250249.213539,3688209.122432,33.3040758392025,126.317613720739
250249.391388,3688209.207021,33.3040766425737,126.317615605712
250249.579746,3688209.269216,33.3040772466102,126.317617609628
250249.76733,3688209.327916,33.3040778189773,126.317619606204
250249.954928,3688209.373422,33.3040782724694,126.317621606572
