X(E/m),Y(N/m)
250242.129470507032238,3688225.460053913760930
250242.180500623740954,3688225.270062308292836
250242.214330476679606,3688225.136006962973624
250242.258044481481193,3688225.023894845042378
250242.282846198941115,3688224.901170511264354
250242.298049105505925,3688224.767594362143427
250242.332449636218371,3688224.655721843708307
250242.328740257391473,3688224.511533475946635
250242.361428768985206,3688224.333112480584532
250242.358004727808293,3688224.200015528127551
250242.372922303242376,3688224.055347965564579
250242.379097074852325,3688223.933102827053517
250242.347732604888733,3688223.800724667031318
250242.354478052526247,3688223.700662353541702
250242.323398918670136,3688223.579375606030226
250242.301633262424730,3688223.457849260885268
250242.308378707850352,3688223.357786948326975
250242.268271435634233,3688223.247831211891025
250242.256104591680923,3688223.137156681623310
250242.215997315826826,3688223.027200944256037
250242.176175378466723,3688222.928336619399488
250242.154695056698984,3688222.817901688627899
250242.105559641349828,3688222.719276962336153
250242.102706272329669,3688222.608362833969295
250242.034373225411400,3688222.488034478388727
250242.004150098626269,3688222.400021970272064
250241.954729340592166,3688222.290305831469595
250241.914622061187401,3688222.180350096430629
250241.855887823883677,3688222.070873557124287
250241.815780542674474,3688221.960917821153998
250241.766645120369503,3688221.862293096724898
250241.717224357591476,3688221.752576959319413
250241.687001226178836,3688221.664564452134073
250241.601182562299073,3688221.589080946519971
250241.561360614141449,3688221.490216623526067
250241.521538665314438,3688221.391352302860469
250241.472973910305882,3688221.314910404849797
250241.405782200483372,3688221.238947704434395
250241.346191939868731,3688221.096196928992867
250241.296485831495374,3688220.975389379542321
250241.247635737498058,3688220.887856069952250
250241.198214967298554,3688220.778139936272055
250241.158393012476154,3688220.679275616072118
250241.108972238027491,3688220.569559480994940
250241.069435619574506,3688220.481786573305726
250241.029328322503716,3688220.371830840129405
250240.999105181777850,3688220.283818334806710
250240.958997885492863,3688220.173862601164728
250240.928204067866318,3688220.063667270820588
250240.906723726744531,3688219.953232339583337
250240.885243387543596,3688219.842797408346087
250240.863763048051624,3688219.732362478505820
250240.831257200072287,3688219.555618672631681
250240.819090339675313,3688219.444944141898304
250240.806638138805283,3688219.323178200982511
250240.794471280416474,3688219.212503671646118
250240.782019081467297,3688219.090737729333341
250240.769566880102502,3688218.968971787486225
250240.757114681007806,3688218.847205847036093
250240.753975962317782,3688218.725200305692852
250240.760150724614505,3688218.602955167647451
250240.766325489443261,3688218.480710026808083
250240.772500252234749,3688218.358464886900038
250240.787988496536855,3688218.235980149358511
250240.813075560552534,3688218.124347224831581
250240.828563806018792,3688218.001862487290055
250240.862679017358460,3688217.878898550756276
250240.906107708928175,3688217.755695017054677
250240.949821739544859,3688217.643582896795124
250241.002563917776570,3688217.520139763597399
250241.055591432581423,3688217.407788045238703
250241.108618951169774,3688217.295436325483024
250241.171245288307546,3688217.193936422467232
250241.243185111379717,3688217.092196920886636
250241.315410273324233,3688217.001548831816763
250241.396663581836037,3688216.899569733999670
250241.478202226775466,3688216.808682047296315
250241.569054358144058,3688216.717554764822125
250241.659906491171569,3688216.626427483279258
250241.760072108765598,3688216.535060605965555
250241.869551211042562,3688216.443454130552709
250241.988629134546500,3688216.362699471414089
250242.162446614995133,3688216.236141579225659
250242.290838026383426,3688216.155147327110171
250242.400887809548294,3688216.085723685100675
250242.520251077454304,3688216.016060444992036
250242.658241313416511,3688215.945918015204370
250242.777604584669461,3688215.876254780218005
250242.906281343341107,3688215.806351948995143
250243.035243434074800,3688215.747540533542633
250243.155177382606780,3688215.700060128234327
250243.283854143606732,3688215.630157302133739
250243.413101575744804,3688215.582437304779887
250243.532750191021478,3688215.523865491151810
250243.661712293484015,3688215.465054084081203
250243.791245063650422,3688215.428425503894687
250243.930091318237828,3688215.391557330265641
250244.142874778073747,3688215.330589570105076
250244.300348002521787,3688215.293242208659649
250244.448793077754090,3688215.267225860152394
250244.597238155925879,3688215.241209512576461
250244.736655081709614,3688215.226524176541716
250244.866473190952092,3688215.200987023767084
250245.006175450311275,3688215.197393102105707
250245.201473281951621,3688215.181270205881447
250245.331862059858395,3688215.177915884181857
250245.462536167673534,3688215.185652976389974
250245.592924942815444,3688215.182298657950014
250245.732912533887429,3688215.189796161372215
250245.872614792548120,3688215.186202253680676
250246.012887716962723,3688215.204791171476245
250246.152875306783244,3688215.212288680952042
250246.302461711224169,3688215.230638009496033
250246.451762786251493,3688215.237895928788930
250246.591750374675030,3688215.245393444783986
250246.731737962720217,3688215.252890960313380
250246.881324364716420,3688215.271240299567580
250247.030340107332449,3688215.267406816128641
250247.179926508135395,3688215.285756158642471
250247.310600613302086,3688215.293493275996298
250247.459616352716694,3688215.289659798145294
250247.599889268341940,3688215.308248739223927
250247.748905007232679,3688215.304415266495198
250247.897635418921709,3688215.289490382187068
250248.037908333149971,3688215.308079331181943
250248.196237555152038,3688215.304006272461265
250248.429359978879802,3688215.309107897337526
250248.578946374647785,3688215.327457261737436
250248.719219286140287,3688215.346046220976859
250248.904632974386914,3688215.307980161625892
250249.036163058190141,3688215.348991540726274
250249.193636296782643,3688215.311644260771573
250249.362134984723525,3688215.340605868957937
250249.520749535120558,3688215.347624245099723
250249.679364082519896,3688215.354642623104155
250249.819922317663440,3688215.384323009755462
250249.987279692781158,3688215.368918977677822
250250.137151412025560,3688215.398359777871519
250250.304508789500687,3688215.382955751847476
250250.462838008097606,3688215.378882730845362
250250.621452555438736,3688215.385901124216616
250250.789665909513133,3688215.403771344572306
250250.939252296346240,3688215.422120744828135
250251.106894999247743,3688215.417808144353330
250251.255910733278142,3688215.413974725641310
250251.404926469607744,3688215.410141308326274
250251.562970361264888,3688215.394976892042905
250251.722155554132769,3688215.424178128130734
250251.889512931287754,3688215.408774129580706
250252.057726280734641,3688215.426644370891154
250252.234967790311202,3688215.433183614630252
250252.393867654958740,3688215.451293450314552
250252.561510355968494,3688215.446980875451118
250252.720410221896600,3688215.465090716723353
250252.888623567676404,3688215.482960971072316
250253.064438453555340,3688215.434043168555945
250253.233222448034212,3688215.474096255376935
250253.400009175500600,3688215.436509458813816
250253.549310232658172,3688215.443767486605793
250253.716382286627777,3688215.417272107675672
250253.873284887726186,3688215.357742080464959
250254.012416491925251,3688215.331965464632958
250254.188802031654632,3688215.305230508558452
250254.336676475766581,3688215.257031485904008
250254.511920729331905,3688215.185930887237191
250254.640597566176439,3688215.116028218064457
250254.779443853301927,3688215.079160200897604
250254.935490502888570,3688214.986355956178159
250255.073195507342461,3688214.905122294556350
250255.191702904441627,3688214.802184982690960
250255.320665071893018,3688214.743373734876513
250255.448485957313096,3688214.640196840744466
250255.566708043246763,3688214.526168119162321
250255.666588479856728,3688214.423709982540458
250255.775211764295818,3688214.298829437233508
250255.903603303362615,3688214.217835373245180
250255.965944489755202,3688214.105244162958115
250256.046627328614704,3688213.981082373298705
250256.118282005278161,3688213.868251581676304
250256.179767236928456,3688213.722386136185378
250256.241823112679413,3688213.598703515715897
250256.293994863546686,3688213.453077656216919
250256.346451938210521,3688213.318543208763003
250256.379996722243959,3688213.173396516591311
250256.394629217596957,3688213.017637581098825
250256.437772811215837,3688212.883342718239874
250256.450693391117966,3688212.661035308614373
250256.457153681461932,3688212.549881604034454
250256.453159208380384,3688212.394601835403591
250256.440136568911839,3688212.250653062015772
250256.417800443305168,3688212.106943871360272
250256.367809175659204,3688211.975044844206423
